time_seconds,distance_px
0.0,190.80094339389416
0.05,190.41270965983338
0.1,190.23406634985227
0.15,189.90787240133042
0.2,188.35339126227592
0.25,188.2153022471871
0.3,187.4459922217597
0.35,186.67886864881092
0.4,186.67886864881092
0.45,187.32325002519042
0.5,187.32325002519042
0.55,186.560981987124
0.6,186.560981987124
0.65,187.97074240423694
0.7,187.21111078138497
0.75,187.21111078138497
0.8,187.21111078138497
0.85,187.21111078138497
0.9,187.21111078138497
0.95,187.21111078138497
1.0,187.21111078138497
1.05,187.21111078138497
1.1,187.21111078138497
1.15,187.21111078138497
1.2,187.21111078138497
1.25,187.21111078138497
1.3,187.21111078138497
1.35,187.21111078138497
1.4,187.21111078138497
1.45,187.21111078138497
1.5,187.21111078138497
1.55,187.21111078138497
1.6,187.21111078138497
1.65,187.21111078138497
1.7,187.21111078138497
1.75,187.21111078138497
1.8,187.21111078138497
1.85,187.21111078138497
1.9,187.21111078138497
1.95,187.21111078138497
2.0,187.21111078138497
2.05,193.08029417835473
2.1,195.38935487891862
2.15,287.27861041156547
2.2,195.68597292601225
2.25,193.2174940319846
2.3,191.4001044931794
2.35,190.80094339389416
2.4,190.60167890131504
2.45,190.23406634985227
2.5,190.06577808748213
2.55,189.12958520548815
2.6,188.35339126227592
2.65,188.2153022471871
2.7,188.08774548066654
2.75,187.32325002519042
2.8,187.32325002519042
2.85,187.32325002519042
2.9,187.97074240423694
2.95,187.97074240423694
3.0,187.97074240423694
3.05,187.21111078138497
3.1,187.21111078138497
3.15,187.21111078138497
3.2,187.21111078138497
3.25,187.21111078138497
3.3,187.21111078138497
3.35,187.21111078138497
3.4,187.21111078138497
3.45,187.21111078138497
3.5,187.21111078138497
3.55,187.21111078138497
3.6,187.21111078138497
3.65,187.21111078138497
3.7,187.21111078138497
3.75,187.21111078138497
3.8,187.21111078138497
3.85,187.21111078138497
3.9,187.21111078138497
3.95,187.21111078138497
4.0,192.31484602078956
4.05,97.0
4.1,93.02150289046077
4.15,288.1423259432741
4.2,193.82982226685345
4.25,191.4001044931794
4.3,190.60167890131504
4.35,190.23406634985227
4.4,190.06577808748213
4.45,189.12958520548815
4.5,188.98677202386415
4.55,188.2153022471871
4.6,187.4459922217597
4.65,187.32325002519042
4.7,187.32325002519042
4.75,187.97074240423694
4.8,187.97074240423694
4.85,187.97074240423694
4.9,187.97074240423694
4.95,187.97074240423694
5.0,187.97074240423694
5.05,187.21111078138497
5.1,187.21111078138497
5.15,187.21111078138497
5.2,187.21111078138497
5.25,187.21111078138497
5.3,187.21111078138497
5.35,187.21111078138497
5.4,187.21111078138497
5.45,187.21111078138497
5.5,187.21111078138497
5.55,187.21111078138497
5.6,187.21111078138497
5.65,187.21111078138497
5.7,187.21111078138497
5.75,187.21111078138497
5.8,187.21111078138497
5.85,194.6175737183053
5.9,498.663213000518
5.95,499.38462130906674
6.0,194.4453650771856
6.05,192.60841103129428
6.1,190.80094339389416
6.15,190.80094339389416
6.2,190.41270965983338
6.25,190.23406634985227
6.3,189.90787240133042
6.35,189.12958520548815
6.4,188.2153022471871
6.45,188.2153022471871
6.5,186.67886864881092
6.55,187.32325002519042
6.6,187.32325002519042
6.65,187.97074240423694
6.7,187.97074240423694
6.75,187.97074240423694
6.8,187.97074240423694
6.85,187.97074240423694
6.9,187.21111078138497
6.95,187.21111078138497
7.0,187.21111078138497
7.05,187.21111078138497
7.1,187.21111078138497
7.15,187.21111078138497
7.2,187.21111078138497
7.25,187.21111078138497
7.3,187.21111078138497
7.35,187.21111078138497
7.4,187.21111078138497
7.45,187.97074240423694
7.5,195.38935487891862
7.55,287.51347794494785
7.6,287.64040050034697
7.65,194.4453650771856
7.7,192.60841103129428
7.75,190.80094339389416
7.8,190.80094339389416
7.85,190.41270965983338
7.9,190.23406634985227
7.95,189.90787240133042
8.0,189.12958520548815
8.05,188.2153022471871
8.1,187.4459922217597
8.15,188.08774548066654
8.2,187.32325002519042
8.25,187.32325002519042
8.3,187.32325002519042
8.35,187.97074240423694
8.4,187.97074240423694
8.45,187.21111078138497
8.5,187.21111078138497
8.55,187.21111078138497
8.6,187.21111078138497
8.65,187.97074240423694
8.7,187.21111078138497
8.75,187.21111078138497
8.8,187.21111078138497
8.85,187.21111078138497
8.9,187.21111078138497
8.95,187.21111078138497
9.0,187.21111078138497
9.05,187.21111078138497
9.1,187.21111078138497
9.15,187.21111078138497
9.2,187.21111078138497
9.25,187.21111078138497
9.3,187.21111078138497
9.35,187.21111078138497
9.4,187.21111078138497
9.45,187.21111078138497
9.5,187.21111078138497
9.55,187.21111078138497
9.6,189.38056922503955
9.65,140.9432509913121
9.7,262.4137953690697
9.75,498.8957806997369
9.8,194.4453650771856
9.85,192.00260414900626
9.9,190.80094339389416
9.95,190.60167890131504
10.0,190.06577808748213
10.05,189.90787240133042
10.1,188.35339126227592
10.15,188.2153022471871
10.2,187.4459922217597
10.25,187.4459922217597
10.3,186.67886864881092
10.35,187.32325002519042
10.4,187.32325002519042
10.45,187.32325002519042
10.5,187.32325002519042
10.55,187.32325002519042
10.6,187.32325002519042
10.65,187.97074240423694
10.7,187.21111078138497
10.75,187.21111078138497
10.8,187.21111078138497
10.85,187.21111078138497
10.9,187.21111078138497
10.95,187.21111078138497
11.0,187.21111078138497
11.05,187.21111078138497
11.1,187.21111078138497
11.15,187.21111078138497
11.2,187.21111078138497
11.25,187.21111078138497
11.3,187.21111078138497
11.35,187.21111078138497
11.4,187.21111078138497
11.45,193.84787850270635
11.5,501.3521716318779
11.55,94.00531899844816
11.6,195.0640920313116
11.65,192.60841103129428
11.7,190.80094339389416
11.75,190.80094339389416
11.8,190.41270965983338
11.85,190.23406634985227
11.9,189.2828571212935
11.95,189.12958520548815
12.0,188.35339126227592
12.05,188.2153022471871
12.1,187.4459922217597
12.15,187.32325002519042
12.2,187.32325002519042
12.25,187.32325002519042
12.3,187.97074240423694
12.35,187.32325002519042
12.4,187.32325002519042
12.45,187.32325002519042
12.5,187.97074240423694
12.55,187.97074240423694
12.6,187.21111078138497
12.65,187.97074240423694
12.7,187.21111078138497
12.75,187.21111078138497
12.8,187.21111078138497
12.85,187.21111078138497
12.9,187.21111078138497
12.95,187.21111078138497
13.0,187.21111078138497
13.05,187.21111078138497
13.1,187.21111078138497
13.15,187.21111078138497
13.2,193.08029417835473
13.25,499.8809858356287
13.3,499.38462130906674
13.35,287.64040050034697
13.4,193.2174940319846
13.45,191.4001044931794
13.5,190.80094339389416
13.55,190.60167890131504
13.6,189.62067397834025
13.65,190.06577808748213
13.7,189.12958520548815
13.75,188.35339126227592
13.8,188.2153022471871
13.85,187.4459922217597
13.9,187.4459922217597
13.95,186.67886864881092
14.0,186.67886864881092
14.05,187.32325002519042
14.1,187.32325002519042
14.15,187.97074240423694
14.2,187.97074240423694
14.25,187.97074240423694
14.3,187.21111078138497
14.35,187.21111078138497
14.4,187.21111078138497
14.45,187.21111078138497
14.5,187.21111078138497
14.55,187.21111078138497
14.6,187.21111078138497
14.65,187.21111078138497
14.7,187.21111078138497
14.75,187.21111078138497
14.8,187.21111078138497
14.85,187.21111078138497
14.9,187.21111078138497
14.95,187.21111078138497
15.0,187.21111078138497
15.05,187.21111078138497
15.1,187.21111078138497
15.15,187.21111078138497
15.2,193.84787850270635
15.25,500.13198258059845
15.3,499.63186447623616
15.35,195.0640920313116
15.4,192.60841103129428
15.45,190.80094339389416
15.5,190.80094339389416
15.55,190.60167890131504
15.6,189.62067397834025
15.65,189.2828571212935
15.7,188.35339126227592
15.75,186.80738743422327
15.8,187.4459922217597
15.85,187.4459922217597
15.9,186.67886864881092
15.95,186.67886864881092
16.0,186.67886864881092
16.05,187.32325002519042
16.1,187.32325002519042
16.15,187.97074240423694
16.2,187.97074240423694
16.25,187.97074240423694
16.3,187.97074240423694
16.35,187.97074240423694
