time_seconds,distance_px
0.0,129.25169244539896
0.05,129.25169244539896
0.1,129.25169244539896
0.15,129.25169244539896
0.2,129.25169244539896
0.25,129.25169244539896
0.3,129.25169244539896
0.35,128.79829191413992
0.4,128.79829191413992
0.45,128.79829191413992
0.5,128.79829191413992
0.55,128.79829191413992
0.6,128.79829191413992
0.65,128.79829191413992
0.7,128.79829191413992
0.75,128.79829191413992
0.8,128.79829191413992
0.85,128.79829191413992
0.9,128.79829191413992
0.95,128.79829191413992
1.0,128.79829191413992
1.05,128.79829191413992
1.1,128.79829191413992
1.15,128.79829191413992
1.2,128.79829191413992
1.25,128.79829191413992
1.3,129.71121771072848
1.35,133.843191832831
1.4,138.70832707519762
1.45,136.19104228986575
1.5,131.0267148332736
1.55,128.70120434556935
1.6,127.58134659894448
1.65,127.8632081562167
1.7,129.1394595001853
1.75,128.9961239727768
1.8,129.37542270462347
1.85,129.76902558006668
1.9,129.29423807734048
1.95,128.82546332150332
2.0,128.82546332150332
2.05,129.25169244539896
2.1,129.25169244539896
2.15,129.25169244539896
2.2,129.25169244539896
2.25,129.25169244539896
2.3,129.25169244539896
2.35,129.25169244539896
2.4,129.25169244539896
2.45,129.25169244539896
2.5,129.25169244539896
2.55,128.79829191413992
2.6,128.79829191413992
2.65,128.79829191413992
2.7,128.79829191413992
2.75,128.79829191413992
2.8,128.79829191413992
2.85,128.79829191413992
2.9,128.79829191413992
2.95,128.79829191413992
3.0,128.79829191413992
3.05,128.79829191413992
3.1,128.79829191413992
3.15,133.3604139165742
3.2,134.33167906342868
3.25,137.43725841270262
3.3,132.74034804836094
3.35,129.84991336154215
3.4,127.58134659894448
3.45,127.58134659894448
3.5,128.16005617976296
3.55,128.79829191413992
3.6,128.63125592172378
3.65,128.9961239727768
3.7,128.89142717807107
3.75,128.41339493993607
3.8,128.82546332150332
3.85,128.82546332150332
3.9,128.82546332150332
3.95,128.3627671873741
4.0,129.25169244539896
4.05,129.25169244539896
4.1,129.25169244539896
4.15,129.25169244539896
4.2,129.25169244539896
4.25,129.25169244539896
4.3,129.25169244539896
4.35,128.79829191413992
4.4,128.79829191413992
4.45,128.79829191413992
4.5,128.79829191413992
4.55,128.79829191413992
4.6,128.79829191413992
4.65,128.79829191413992
4.7,128.79829191413992
4.75,128.79829191413992
4.8,128.79829191413992
4.85,128.79829191413992
4.9,132.00378782444085
4.95,133.843191832831
5.0,137.82960494755835
5.05,132.74034804836094
5.1,130.6981254647518
5.15,127.58134659894448
5.2,126.75172582651489
5.25,127.8632081562167
5.3,127.94530081249565
5.35,129.1394595001853
5.4,128.9961239727768
5.45,129.37542270462347
5.5,129.29423807734048
5.55,128.82546332150332
5.6,128.82546332150332
5.65,128.82546332150332
5.7,128.3627671873741
5.75,129.25169244539896
5.8,129.25169244539896
5.85,129.25169244539896
5.9,129.25169244539896
5.95,129.25169244539896
6.0,129.25169244539896
6.05,129.25169244539896
6.1,129.25169244539896
6.15,129.25169244539896
6.2,129.25169244539896
6.25,129.25169244539896
6.3,128.79829191413992
6.35,128.79829191413992
6.4,128.79829191413992
6.45,128.79829191413992
6.5,128.79829191413992
6.55,128.79829191413992
6.6,128.79829191413992
6.65,128.79829191413992
6.7,128.79829191413992
6.75,128.79829191413992
6.8,128.79829191413992
6.85,128.79829191413992
6.9,132.00378782444085
6.95,133.843191832831
7.0,132.59336333316233
7.05,132.74034804836094
7.1,129.84991336154215
7.15,127.58134659894448
7.2,127.58134659894448
7.25,127.8632081562167
7.3,127.94530081249565
7.35,129.1394595001853
7.4,128.89142717807107
7.45,128.41339493993607
7.5,128.82546332150332
7.55,128.82546332150332
7.6,128.3627671873741
7.65,128.3627671873741
7.7,128.3627671873741
7.75,128.3627671873741
7.8,128.3627671873741
7.85,128.3627671873741
7.9,128.3627671873741
7.95,128.3627671873741
8.0,128.3627671873741
8.05,128.3627671873741
8.1,128.3627671873741
8.15,128.3627671873741
8.2,128.3627671873741
8.25,128.3627671873741
8.3,128.79829191413992
8.35,128.79829191413992
8.4,128.79829191413992
8.45,128.79829191413992
8.5,129.25169244539896
8.55,132.9699214108213
8.6,136.95254652615992
8.65,135.32553343696821
8.7,131.54847015454038
8.75,128.70120434556935
8.8,127.58134659894448
8.85,126.75172582651489
8.9,128.16005617976296
8.95,128.2809416865966
9.0,128.63125592172378
9.05,128.50291825480073
9.1,128.89142717807107
9.15,128.41339493993607
9.2,128.82546332150332
9.25,128.82546332150332
9.3,128.82546332150332
9.35,128.3627671873741
9.4,128.3627671873741
9.45,128.3627671873741
9.5,128.3627671873741
9.55,128.3627671873741
9.6,128.3627671873741
9.65,128.3627671873741
9.7,128.3627671873741
9.75,128.3627671873741
9.8,127.90621564255585
9.85,128.79829191413992
9.9,128.79829191413992
9.95,128.79829191413992
10.0,128.79829191413992
10.05,128.79829191413992
10.1,128.79829191413992
10.15,128.79829191413992
10.2,128.79829191413992
10.25,128.79829191413992
10.3,128.79829191413992
10.35,128.79829191413992
10.4,130.17680284904833
10.45,131.60927019021113
10.5,87.31551981177229
10.55,136.19104228986575
10.6,130.6981254647518
10.65,128.41339493993607
10.7,127.58134659894448
10.75,127.58134659894448
10.8,127.62444906835053
10.85,128.2809416865966
10.9,128.9961239727768
10.95,128.50291825480073
11.0,128.89142717807107
11.05,128.41339493993607
11.1,128.82546332150332
11.15,128.82546332150332
11.2,128.82546332150332
11.25,128.82546332150332
11.3,128.3627671873741
11.35,128.3627671873741
11.4,128.3627671873741
11.45,128.3627671873741
11.5,128.3627671873741
11.55,128.3627671873741
11.6,128.3627671873741
11.65,128.3627671873741
11.7,128.3627671873741
11.75,128.3627671873741
11.8,128.3627671873741
11.85,128.79829191413992
11.9,128.79829191413992
11.95,128.79829191413992
12.0,128.79829191413992
12.05,128.79829191413992
12.1,128.79829191413992
12.15,128.79829191413992
12.2,128.79829191413992
12.25,128.79829191413992
12.3,132.48396129343357
12.35,87.31551981177229
12.4,137.43725841270262
12.45,134.46189051177288
