time_seconds,distance_px
0.0,165.19382555047267
0.05,165.3027525481654
0.1,166.06625183943908
0.15,166.19265928433782
0.2,166.19265928433782
0.25,166.96406799069075
0.3,166.96406799069075
0.35,166.96406799069075
0.4,166.96406799069075
0.45,167.73789077009405
0.5,167.73789077009405
0.55,167.73789077009405
0.6,167.73789077009405
0.65,167.73789077009405
0.7,167.73789077009405
0.75,167.73789077009405
0.8,167.73789077009405
0.85,167.73789077009405
0.9,167.73789077009405
0.95,167.73789077009405
1.0,167.73789077009405
1.05,167.73789077009405
1.1,167.73789077009405
1.15,167.73789077009405
1.2,167.73789077009405
1.25,167.73789077009405
1.3,167.73789077009405
1.35,167.73789077009405
1.4,167.73789077009405
1.45,168.51409436602032
1.5,167.73789077009405
1.55,168.51409436602032
1.6,168.51409436602032
1.65,168.51409436602032
1.7,168.51409436602032
1.75,168.51409436602032
1.8,168.51409436602032
1.85,161.64467204334326
1.9,155.2063143045411
1.95,398.84332763630385
2.0,306.5110112214568
2.05,158.83639381451596
2.1,160.4306703844374
2.15,161.6168308066954
2.2,162.18816233005415
2.25,162.85576440519384
2.3,163.6001222493431
2.35,164.43843832875572
2.4,165.3027525481654
2.45,166.06625183943908
2.5,166.83225107874077
2.55,166.19265928433782
2.6,166.96406799069075
2.65,166.96406799069075
2.7,166.96406799069075
2.75,166.96406799069075
2.8,166.96406799069075
2.85,167.73789077009405
2.9,167.73789077009405
2.95,167.73789077009405
3.0,167.73789077009405
3.05,167.73789077009405
3.1,167.73789077009405
3.15,167.73789077009405
3.2,167.73789077009405
3.25,167.73789077009405
3.3,167.73789077009405
3.35,167.73789077009405
3.4,167.73789077009405
3.45,167.73789077009405
3.5,167.73789077009405
3.55,167.73789077009405
3.6,167.73789077009405
3.65,167.73789077009405
3.7,167.73789077009405
3.75,167.73789077009405
3.8,163.67040050051813
3.85,155.80115532305913
3.9,154.6156525064652
3.95,155.2063143045411
4.0,158.22136391777187
4.05,160.4306703844374
4.1,162.85576440519384
4.15,162.85576440519384
4.2,163.6001222493431
4.25,164.43843832875572
4.3,165.3027525481654
4.35,166.06625183943908
4.4,166.06625183943908
4.45,166.19265928433782
4.5,166.19265928433782
4.55,166.96406799069075
4.6,166.96406799069075
4.65,166.96406799069075
4.7,166.96406799069075
4.75,166.96406799069075
4.8,166.96406799069075
4.85,166.96406799069075
4.9,166.96406799069075
4.95,167.73789077009405
5.0,167.73789077009405
5.05,167.73789077009405
5.1,167.73789077009405
5.15,167.73789077009405
5.2,167.73789077009405
5.25,167.73789077009405
5.3,167.73789077009405
5.35,167.73789077009405
5.4,167.73789077009405
5.45,167.73789077009405
5.5,167.73789077009405
5.55,167.73789077009405
5.6,167.73789077009405
5.65,158.83639381451596
5.7,155.2063143045411
5.75,154.6156525064652
5.8,156.40012787718558
5.85,159.29846201391902
5.9,160.96272860510285
5.95,162.18816233005415
6.0,162.85576440519384
6.05,162.85576440519384
6.1,163.68567438844488
6.15,164.54178800535746
6.2,165.3027525481654
6.25,166.06625183943908
6.3,166.19265928433782
6.35,166.19265928433782
6.4,166.96406799069075
6.45,166.96406799069075
6.5,166.96406799069075
6.55,166.96406799069075
6.6,166.96406799069075
6.65,166.96406799069075
6.7,166.96406799069075
6.75,166.96406799069075
6.8,167.73789077009405
6.85,167.73789077009405
6.9,167.73789077009405
6.95,167.73789077009405
7.0,167.73789077009405
7.05,167.73789077009405
7.1,167.73789077009405
7.15,167.73789077009405
7.2,167.73789077009405
7.25,167.10774967068403
7.3,158.22136391777187
7.35,155.2063143045411
7.4,154.6156525064652
7.45,157.00318468107582
7.5,159.29846201391902
7.55,160.96272860510285
7.6,162.18816233005415
7.65,162.85576440519384
7.7,162.85576440519384
7.75,163.68567438844488
7.8,164.54178800535746
7.85,165.3027525481654
7.9,166.06625183943908
7.95,166.19265928433782
8.0,166.19265928433782
8.05,166.96406799069075
8.1,166.96406799069075
8.15,166.96406799069075
8.2,166.96406799069075
8.25,166.96406799069075
